,number_of_topics,count_reviews,pct_reviews
2,0,1938,0.24457344775365977
0,1,3067,0.3870519939424533
1,2,2022,0.2551741544674407
3,3,754,0.09515396264512872
4,4,128,0.016153457849570924
5,5,15,0.0018929833417465926
